MA0840.1	MA0840.1_Creb5	CREB5
MA0841.1	MA0841.1_NFE2	NFE2
MA0842.1	MA0842.1_NRL	NRL
MA0843.1	MA0843.1_TEF	TEF
MA0844.1	MA0844.1_XBP1	XBP1
MA0845.1	MA0845.1_FOXB1	FOXB1
MA0846.1	MA0846.1_FOXC2	FOXC2
MA0847.1	MA0847.1_FOXD2	FOXD2
MA0848.1	MA0848.1_FOXO4	FOXO4
MA0849.1	MA0849.1_FOXO6	FOXO6
MA0850.1	MA0850.1_FOXP3	FOXP3
MA0851.1	MA0851.1_Foxj3	FOXJ3
MA0852.2	MA0852.2_FOXK1	FOXK1
MA0853.1	MA0853.1_Alx4	ALX4
MA0854.1	MA0854.1_Alx1	ALX1
MA0855.1	MA0855.1_RXRB	RXRB
MA0856.1	MA0856.1_RXRG	RXRG
MA0857.1	MA0857.1_Rarb	RARB
MA0858.1	MA0858.1_Rarb_var.2	RARB
MA0859.1	MA0859.1_Rarg	RARG
MA0860.1	MA0860.1_Rarg_var.2	RARG
MA0861.1	MA0861.1_TP73	TP73
MA0862.1	MA0862.1_GMEB2	GMEB2
MA0863.1	MA0863.1_MTF1	MTF1
MA0864.1	MA0864.1_E2F2	E2F2
MA0865.1	MA0865.1_E2F8	E2F8
MA0866.1	MA0866.1_SOX21	SOX21
MA0867.1	MA0867.1_SOX4	SOX4
MA0868.1	MA0868.1_SOX8	SOX8
MA0869.1	MA0869.1_Sox11	SOX11
MA0870.1	MA0870.1_Sox1	SOX1
MA0871.1	MA0871.1_TFEC	TFEC
MA0872.1	MA0872.1_TFAP2A_var.3	TFAP2A
MA0873.1	MA0873.1_HOXD12	HOXD12
MA0874.1	MA0874.1_Arx	ARX
MA0875.1	MA0875.1_BARX1	BARX1
MA0876.1	MA0876.1_BSX	BSX
MA0877.1	MA0877.1_Barhl1	BARHL1
MA0878.1	MA0878.1_CDX1	CDX1
MA0879.1	MA0879.1_Dlx1	DLX1
MA0880.1	MA0880.1_Dlx3	DLX3
MA0881.1	MA0881.1_Dlx4	DLX4
MA0882.1	MA0882.1_DLX6	DLX6
MA0883.1	MA0883.1_Dmbx1	DMBX1
MA0884.1	MA0884.1_DUXA	DUXA
MA0885.1	MA0885.1_Dlx2	DLX2
MA0886.1	MA0886.1_EMX2	EMX2
MA0887.1	MA0887.1_EVX1	EVX1
MA0888.1	MA0888.1_EVX2	EVX2
MA0889.1	MA0889.1_GBX1	GBX1
MA0890.1	MA0890.1_GBX2	GBX2
MA0891.1	MA0891.1_GSC2	GSC2
MA0892.1	MA0892.1_GSX1	GSX1
MA0893.1	MA0893.1_GSX2	GSX2
MA0894.1	MA0894.1_HESX1	HESX1
MA0895.1	MA0895.1_HMBOX1	HMBOX1
MA0896.1	MA0896.1_Hmx1	HMX1
MA0897.1	MA0897.1_Hmx2	HMX2
MA0898.1	MA0898.1_Hmx3	HMX3
MA0899.1	MA0899.1_HOXA10	HOXA10
MA0900.1	MA0900.1_HOXA2	HOXA2
MA0901.1	MA0901.1_HOXB13	HOXB13
MA0902.1	MA0902.1_HOXB2	HOXB2
MA0903.1	MA0903.1_HOXB3	HOXB3
MA0904.1	MA0904.1_Hoxb5	HOXB5
MA0905.1	MA0905.1_HOXC10	HOXC10
MA0906.1	MA0906.1_HOXC12	HOXC12
MA0907.1	MA0907.1_HOXC13	HOXC13
MA0908.1	MA0908.1_HOXD11	HOXD11
MA0909.1	MA0909.1_HOXD13	HOXD13
MA0910.1	MA0910.1_Hoxd8	HOXD8
MA0911.1	MA0911.1_Hoxa11	HOXA11
MA0912.1	MA0912.1_Hoxd3	HOXD3
MA0913.1	MA0913.1_Hoxd9	HOXD9
MA0914.1	MA0914.1_ISL2	ISL2
MA1099.1	MA1099.1_Hes1	HES1
MA1100.1	MA1100.1_ASCL1	ASCL1
MA1101.1	MA1101.1_BACH2	BACH2
MA1102.1	MA1102.1_CTCFL	CTCFL
MA1103.1	MA1103.1_FOXK2	FOXK2
MA1104.1	MA1104.1_GATA6	GATA6
MA1105.1	MA1105.1_GRHL2	GRHL2
MA1106.1	MA1106.1_HIF1A	HIF1A
MA1107.1	MA1107.1_KLF9	KLF9
MA1108.1	MA1108.1_MXI1	MXI1
MA1109.1	MA1109.1_NEUROD1	NEUROD1
MA1110.1	MA1110.1_NR1H4	NR1H4
MA1111.1	MA1111.1_NR2F2	NR2F2
MA1112.1	MA1112.1_NR4A1	NR4A1
MA1113.1	MA1113.1_PBX2	PBX2
MA1114.1	MA1114.1_PBX3	PBX3
MA1115.1	MA1115.1_POU5F1	POU5F1
MA1116.1	MA1116.1_RBPJ	RBPJ
MA1117.1	MA1117.1_RELB	RELB
MA1118.1	MA1118.1_SIX1	SIX1
MA1119.1	MA1119.1_SIX2	SIX2
MA1120.1	MA1120.1_SOX13	SOX13
MA1121.1	MA1121.1_TEAD2	TEAD2
MA1122.1	MA1122.1_TFDP1	TFDP1
MA1123.1	MA1123.1_TWIST1	TWIST1
MA1124.1	MA1124.1_ZNF24	ZNF24
MA1125.1	MA1125.1_ZNF384	ZNF384
MA1126.1	MA1126.1_FOS::JUN_var.2	FOS,JUN
MA1127.1	MA1127.1_FOSB::JUN	FOSB,JUN
MA1128.1	MA1128.1_FOSL1::JUN	FOSL1,JUN
MA1129.1	MA1129.1_FOSL1::JUN_var.2	FOSL1,JUN
